t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
5001847 2 -4 56 133 60 71 124 1008 -88 18172 53 -397 -129
5001947 3 -4 2 66 61 72 70 1096 -232 18132 72 -398 -149
5002047 -2 -3 1 1 33 34 35 1108 -144 18220 103 -396 -132
5002147 -2 -4 1 70 67 70 67 1112 -188 18264 60 -386 -125
5002247 3 -5 1 70 62 1 35 1056 -92 18248 118 -413 -95
5002347 1 -3 1 71 72 2 61 1032 -164 18068 47 -411 -118
5002447 -1 -5 1 68 71 1 72 1060 -248 18344 111 -426 -115
5002547 2 -4 1 132 59 67 123 1068 -112 18408 87 -372 -134
5002647 5 -5 4 73 63 1 66 1016 -132 18352 53 -386 -95
5002747 4 -4 1 70 59 68 66 1096 -88 18156 62 -404 -132
5002847 2 -4 1 66 64 61 89 1084 -144 18208 56 -384 -155
5002947 -1 -3 4 71 64 71 59 1032 -240 18324 116 -419 -130
5003047 -1 -3 4 68 1 64 72 1064 -180 18316 70 -401 -121
5003147 2 -4 1 66 58 75 62 1136 -172 18240 101 -408 -123
5003247 2 -6 1 72 64 1 93 1020 -200 18280 63 -422 -138
5003347 3 -3 4 71 56 68 68 1152 -140 18296 91 -375 -118
5003447 -1 -5 4 68 63 72 23 1040 -116 18200 102 -406 -122
5003547 1 -3 1 1 59 1 1 1120 -224 18292 94 -417 -130
5003647 1 -5 1 79 63 1 68 1076 -100 18204 98 -373 -120
5003747 1 -3 40 70 61 1 131 1000 -140 18176 85 -376 -117
5003847 0 -3 1 69 68 74 65 1096 -236 18208 76 -397 -130
5003947 2 -4 22 75 67 1 49 1100 -132 18340 105 -419 -152
5004047 2 -4 19 72 70 62 68 1068 -256 18224 111 -416 -118
5004147 4 -5 41 80 69 74 18 1124 -88 18196 81 -411 -136
5004247 3 -5 1 73 73 5 29 1108 -60 18272 51 -394 -115
5004347 -2 -4 46 1 64 1 1 1116 -200 18336 97 -446 -154
5004447 1 -5 3 1 60 4 1 1272 -100 18264 128 -426 -130
5004547 3 -3 16 62 71 76 68 1104 -180 18352 117 -434 -113
5004647 3 -3 1 22 4 4 1 1084 -196 18232 101 -436 -127
5004747 2 -4 10 68 69 79 66 1068 -196 18368 92 -401 -116
5004847 3 -4 1 72 59 68 65 1008 -140 18376 107 -461 -98
5004947 4 -3 23 74 64 78 1 992 -196 18320 82 -404 -108
5005047 1 -3 1 35 1 63 1 1076 -160 18336 64 -402 -111
5005147 1 -3 1 70 64 80 64 1180 -88 18428 124 -416 -134
5005247 1 -3 1 1 1 64 1 1132 -116 18220 59 -373 -115
5005347 2 -4 1 2 67 75 69 1152 -100 18220 99 -427 -117
5005447 1 -3 46 61 66 61 72 1068 -168 18132 94 -388 -127
5005547 5 -5 1 68 63 70 69 1044 -96 18176 96 -399 -126
5005647 -2 -3 15 68 1 70 2 1080 -256 18324 71 -390 -141
5005747 4 -4 1 1 64 76 59 1228 -216 18452 131 -436 -112
5005847 -1 -3 2 73 58 67 73 1104 -176 18308 49 -387 -133
5005947 1 -3 37 1 60 74 64 1020 -248 18408 53 -408 -123
5006047 2 -2 1 73 64 63 70 1056 -164 18280 111 -432 -134
5006147 0 -4 1 1 1 1 1 1044 -216 18092 81 -383 -109
5006247 1 -3 1 69 63 68 67 1108 -160 18200 91 -451 -105
5006347 4 -4 1 1 63 77 56 1028 -172 18212 76 -385 -115
5006447 2 -4 20 67 59 71 32 1044 -204 18268 73 -393 -118
5006547 4 -4 51 56 1 75 54 1060 -136 18360 89 -381 -115
5006647 2 -4 1 30 1 1 1 1080 -220 18260 98 -398 -117
5006747 -1 -3 1 61 63 69 50 1132 -56 18324 87 -391 -126
5006847 1 -3 1 1 1 33 1 1056 -232 18368 97 -410 -112
5006947 -3 -5 39 72 61 91 61 1116 -144 18300 72 -418 -112
5007047 0 -4 70 70 83 95 65 1204 -144 18116 88 -386 -137
5007147 1 -5 1 4 30 62 39 1096 -208 18280 109 -431 -126
5007247 4 -4 47 74 1 78 71 1124 -268 18212 61 -389 -122
5007347 1 -3 1 81 63 2 71 1104 -116 18376 63 -391 -99
5007447 2 -4 2 1 22 77 76 1080 -156 18264 102 -424 -158
5007547 0 -4 24 65 4 61 70 1192 -68 18300 51 -412 -131
5007647 3 -3 25 4 62 79 72 1044 -172 18120 54 -393 -132
5007747 3 -3 1 67 57 70 73 1220 -56 18316 116 -427 -134
5007847 -1 -3 1 58 64 63 65 1064 -220 18340 55 -405 -143
5007947 1 -3 51 75 65 68 70 1184 -176 18140 55 -392 -146
5008047 -3 -3 1 72 63 70 64 1068 -196 18220 73 -379 -122
5008147 2 -4 40 70 92 84 106 1044 -132 18180 60 -404 -115
5008247 2 -4 37 60 70 1 72 1128 -212 18356 68 -411 -126
5008347 1 -3 2 71 93 60 71 1076 -152 18376 89 -414 -123
5008447 0 -4 1 55 65 47 53 1016 -184 18220 88 -422 -122
5008547 -2 -4 28 24 111 68 61 1072 -128 18316 86 -391 -110
5008647 0 -5 1 70 66 3 69 1004 -208 18240 80 -386 -113
5008747 1 -2 4 65 68 69 68 1132 -272 18228 77 -387 -137
5008847 0 -4 2 70 63 70 80 1016 -96 18336 91 -396 -124
5008947 3 -3 2 70 64 60 68 1180 -196 18236 58 -387 -112
5009047 -1 -4 1 74 67 71 50 1116 -160 18304 66 -419 -136
5009147 -2 -3 4 74 85 72 63 1088 -204 18168 80 -401 -119
5009247 1 -4 21 72 59 74 52 1120 -184 18228 97 -407 -128
5009347 4 -3 30 59 63 74 69 1076 -176 18240 89 -379 -140
5009447 -2 -5 4 71 70 1 74 1104 -144 18336 78 -371 -124
5009547 2 -3 2 62 72 73 68 1136 -132 18368 109 -409 -133
5009647 1 -4 13 67 64 76 67 1096 -168 18264 64 -391 -112
5009747 0 -4 47 75 67 74 65 996 -208 18288 74 -374 -109
5009847 3 -3 23 70 65 74 71 992 -164 18304 77 -396 -146
5009947 0 -4 55 86 1 72 66 1140 -120 18220 46 -401 -123
5010047 3 -3 1 72 55 76 63 1032 -132 18156 64 -386 -85
5010147 3 -5 39 87 89 68 68 1104 -264 18320 132 -405 -92
5010247 1 -3 1 62 62 88 67 1120 -192 18288 73 -406 -118
5010347 2 -4 1 65 1 33 35 1120 -144 18176 45 -380 -132
5010447 1 -3 1 47 42 1 1 1020 -148 18220 87 -368 -135
5010547 1 -3 26 81 63 79 83 1128 -164 18336 125 -414 -124
5010647 2 -4 1 40 1 1 1 1032 -108 18280 101 -414 -116
5010747 0 -4 1 1 1 1 1 1104 -144 18264 71 -409 -112
5010847 3 -3 1 74 70 64 1 1124 -152 18152 103 -423 -111
5010947 -2 -5 4 82 64 92 59 1068 -92 18272 53 -387 -130
5011047 0 -3 1 75 62 71 62 1056 -212 18360 111 -401 -114
5011147 2 -4 1 68 64 4 1 1096 -112 18232 86 -404 -118
5011247 1 -3 3 75 70 69 78 1132 -108 18356 106 -441 -107
5011347 0 -3 1 1 1 1 28 1108 -132 18352 74 -372 -128
5011447 3 -3 4 8 7 8 8 1160 -236 18236 122 -415 -130
5011547 2 -5 65 1 70 69 1 1160 -204 18324 79 -408 -121
5011647 2 -3 56 47 1 69 1 1104 -180 18324 121 -383 -115
5011747 -4 -4 1 1 1 1 65 1156 -152 18456 53 -377 -99
5011847 2 -4 36 72 69 65 63 1052 -164 18440 96 -402 -109
5011947 0 -4 1 53 56 63 74 1052 -144 18236 110 -405 -100
5012047 1 -3 68 74 88 66 73 1132 -180 18448 51 -387 -92
5012147 -1 -4 2 75 70 1 69 1080 -216 18332 129 -423 -137
5012247 3 -3 4 69 58 77 70 1144 -168 18336 125 -443 -131
5012347 2 -4 2 64 66 4 67 1012 -40 18224 113 -419 -102
5012447 0 -3 8 74 74 67 64 1076 -176 18296 147 -425 -127
5012547 0 -3 1 1 3 5 6 1228 -288 18240 117 -447 -129
5012647 0 -3 2 72 65 73 56 1076 -148 18268 101 -391 -122
5012747 2 -4 1 66 58 72 68 1140 -140 18156 126 -422 -132
5012847 4 -4 1 72 67 1 60 1084 -260 18272 76 -370 -152
5012947 4 -5 1 73 66 2 24 1164 -228 18284 85 -396 -107
5013047 1 -4 2 54 65 65 62 1128 -168 18272 102 -393 -124
5013147 2 -4 1 52 1 54 54 1124 -228 18208 73 -430 -110
5013247 -1 -3 1 64 69 76 65 1056 -132 18216 75 -409 -117
5013347 4 -5 1 64 85 80 69 1144 -196 18348 77 -412 -96
5013447 2 -3 1 81 76 79 70 1084 -176 18408 107 -430 -137
5013547 1 -4 23 4 67 72 66 1116 -92 18184 81 -388 -117
5013647 2 -3 48 83 68 76 54 1144 -220 18192 74 -404 -126
5013747 0 -3 4 69 61 64 59 1016 -168 18140 72 -383 -158
5013847 5 -4 1 39 64 72 59 1084 -92 18372 62 -400 -140
5013947 1 -3 1 1 57 1 30 1060 -144 18232 60 -412 -129
5014047 2 -4 23 76 59 70 68 1136 -268 18364 100 -399 -111
5014147 2 -4 2 72 65 69 1 1108 -192 18192 55 -399 -140
5014247 0 -4 1 49 73 95 59 1100 -204 18272 101 -408 -104
5014347 3 -3 31 70 67 73 67 1112 -148 18116 61 -398 -125
5014447 2 -4 39 64 73 77 52 1036 -168 18264 72 -382 -125
5014547 0 -4 1 73 69 80 61 1132 -108 18308 102 -415 -119
5014647 1 -3 2 64 67 70 1 1008 -132 18280 57 -403 -113
5014747 0 -5 1 77 62 78 3 1124 -244 18188 107 -410 -150
5014847 4 -3 1 46 56 78 71 1168 -144 18328 122 -421 -109
5014947 1 -4 47 8 1 70 69 1092 -212 18356 55 -399 -136
5015047 0 -4 27 74 59 79 90 1088 -148 18384 92 -446 -107
5015147 1 -3 1 35 1 34 1 1060 -172 18400 40 -386 -127
