11800 0 0 14 14 15 15 15 1096 -120 18312 201 -412 -150
12000 0 0 16 16 15 16 13 1060 -204 18332 196 -454 -132
12200 0 0 14 13 12 11 11 1104 -172 18396 200 -466 -117
12400 0 0 10 10 10 10 11 1044 -80 18304 195 -438 -167
12600 0 0 10 10 11 12 13 1004 -144 18392 189 -416 -150
12800 0 0 14 15 15 15 15 1060 -68 18416 211 -461 -152
13000 0 0 16 16 15 15 14 1128 -44 18368 196 -453 -132
13200 0 0 14 13 12 11 11 1172 -168 18408 192 -443 -135
13400 0 0 10 10 9 10 11 1268 -216 18340 177 -435 -132
13600 18460 172 254 61 255 84 17 -320 0 0 2827 3084 3588
13800 0 0 12 13 11 16 14 1120 -112 18556 211 -475 -151
14000 0 0 16 16 16 16 13 804 8 18312 191 -425 -119
14200 0 0 16 15 15 15 15 1144 -84 18196 198 -455 -143
14400 0 0 13 12 12 12 13 1132 -124 18284 200 -442 -142
14600 0 0 11 11 11 12 15 1000 -164 18340 199 -455 -139
14800 0 0 13 13 14 14 15 828 -232 18220 177 -496 -98
15000 0 0 15 15 15 16 16 988 -112 18136 193 -461 -125
15200 0 0 15 15 15 14 13 1056 -56 18420 212 -500 -135
15400 0 0 12 12 11 11 11 1076 -152 18376 225 -447 -155
15600 0 0 11 11 11 11 13 1060 -164 18464 208 -462 -151
15800 0 0 12 13 13 14 15 1284 -132 18432 160 -440 -125
16000 0 0 16 15 15 15 15 1100 -208 18544 169 -451 -146
16200 171 -414 255 76 18 23 192 0 0 3855 4110 3332 -31489
16400 0 0 14 13 12 12 11 1108 -88 18436 184 -469 -142
16600 0 0 10 10 9 10 11 996 -24 18236 227 -475 -151
16800 18552 191 254 43 255 102 18 7360 0 0 2570 2828 3332
17000 0 0 12 12 13 14 15 1044 -132 18248 216 -456 -143
17200 0 0 30 15 15 15 15 1052 -88 18300 225 -477 -145
17400 0 0 15 18 14 14 13 1172 -152 18372 184 -419 -154
17600 0 0 12 11 10 10 11 1180 -152 18188 229 -539 -164
17800 -417 -151 18 37 192 0 0 0 2569 2570 3076 18687 24647
18000 0 0 10 10 11 12 13 1048 -184 18272 226 -479 -135
18200 0 0 12 14 15 15 15 1100 -88 18316 191 -457 -142
18400 0 0 16 16 15 15 14 1028 -48 18444 183 -439 -149
18600 0 0 14 13 12 12 11 1116 -88 18232 226 -450 -150
18800 0 0 10 9 8 9 11 1096 -116 18428 202 -437 -156
19000 0 0 10 8 10 12 13 1176 -116 18300 218 -454 -146
19200 0 0 13 13 14 15 16 1108 -88 18464 202 -452 -156
19400 0 0 16 16 15 14 15 1184 -100 18540 191 -435 -146
19600 0 0 14 14 13 13 11 1148 -172 18312 164 -418 -158
19800 0 0 12 10 10 10 11 1104 -128 18452 208 -454 -145
20000 0 0 10 10 11 12 13 1128 -84 18412 169 -440 -151
20200 -430 -119 18 60 192 0 0 0 3598 3855 3844 22783 23623
20400 0 0 16 15 15 15 15 1000 -180 18480 200 -464 -152
20600 0 0 16 15 14 14 13 1060 -80 18264 206 -470 -136
20800 0 0 12 12 11 10 9 1060 -60 18452 181 -451 -128
21000 0 0 10 9 10 10 11 1096 -12 18464 227 -464 -138
21200 0 0 12 12 13 13 14 1184 -32 18396 227 -449 -149
21400 0 0 16 15 15 16 15 1124 -136 18452 208 -473 -153
21600 0 0 17 17 14 15 14 524 1012 17420 59 -877 -263
21800 12 1 13 12 12 12 12 252 -992 16480 235 -183 174
22000 16 15 11 9 10 11 14 28 -748 18012 375 -248 1
22200 20 20 11 11 12 13 14 292 488 17316 -74 -606 -44
22400 22 22 13 15 15 15 15 100 684 15608 204 -236 208
22600 24 24 15 15 14 14 13 1864 132 18612 -43 59 350
22800 24 24 13 12 11 11 11 -52 -1516 17608 199 -1033 -26
23000 24 25 11 11 11 11 12 692 288 19508 474 -478 525
23200 219 -360 1 190 18 89 192 24 25 3084 3342 3846 -4095
23400 24 24 14 14 15 15 17 2268 1208 22316 269 1243 1043
23600 24 25 17 17 16 10 15 120 468 19204 399 -302 -246
23800 24 24 16 15 14 14 13 1000 -632 18432 131 -500 4703
24000 24 25 11 11 10 10 10 -2848 440 13692 256 -2744 -167
24200 24 24 10 11 11 12 13 264 -464 18212 140 214 483
24400 24 24 12 13 14 15 15 1408 -528 19212 233 -268 299
24600 23 24 17 16 15 16 15 3460 -2088 11744 139 757 311
24800 23 25 13 13 16 12 11 -552 -480 19568 780 -1724 -51
25000 1 1 11 10 10 10 11 7376 148 16280 -31 124 -1464
25200 0 0 10 10 10 11 12 836 352 17512 -11 -588 -235
25400 0 0 12 13 14 14 15 1480 -64 18288 214 -536 -200
25600 0 0 15 15 15 15 15 1048 -248 18368 199 -428 -151
25800 0 0 14 14 13 13 11 1028 -132 18256 211 -482 -144
26000 0 0 11 10 10 10 11 1044 -300 18444 219 -452 -135
26200 0 0 10 10 10 11 11 1032 -156 18220 248 -455 -136
26400 0 0 12 13 14 14 15 972 -196 18476 185 -466 -149
26600 0 0 15 15 15 15 15 1020 -136 18416 222 -478 -145
26800 0 0 15 15 13 13 12 1036 -132 18384 231 -433 -134
27000 0 0 12 11 10 10 10 960 -176 18504 224 -432 -132
27200 0 0 11 10 10 11 12 984 -188 18408 201 -442 -138
27400 0 0 12 12 13 14 15 1124 -180 18440 187 -438 -144
27600 0 0 16 15 15 15 15 1048 -216 18328 202 -435 -145
